,Date,Price,NearStat,StatDist(miles),Prop_Type,Bedrooms,Bathrooms,Floor_Size,Outdoor,Portered,Contract_Type,Outcode,Outcode2,Outcode3,Postcode,Centrality,North,Links,Date_Scraped,Avg_price
862,20211008.0,650000.0,Victoria Station,0.3,Terraced,1.0,1.0,,0.0,0.0,,SW1P,SW1,SW1P1,SW1P1DS,1.5791960706432016,1.0,,2022-09-02,140.0
863,20220729.0,650000.0,Swiss Cottage Station,0.1,Flat,2.0,1.0,591.0,0.0,0.0,Freehold,NW3,NW3,NW35,NW35LL,5.317843965194456,1.0,,2022-09-02,216.0
864,20220729.0,570000.0,Pimlico Station,0.4,Flat,2.0,1.0,643.0,0.0,0.0,Leasehold,SW1P,SW1,SW1P4,SW1P4ET,1.5058585283634616,1.0,,2022-09-02,142.0
865,20220729.0,650000.0,Southwark Station,0.2,Flat,1.0,1.0,,1.0,0.0,Leasehold,SE1,SE1,SE18,SE18QH,1.6454602550332675,0.0,,2022-09-02,130.0
866,20220729.0,595000.0,St. Paul's Station,0.2,Flat,1.0,1.0,,0.0,1.0,,EC1A,EC1,EC1A7,EC1A7BX,2.323700787287807,1.0,,2022-09-02,162.0
867,20220729.0,695000.0,Westbourne Park Station,0.3,Apartment,1.0,1.0,541.0,0.0,0.0,Freehold,W2,W2,W25,W25JL,4.94859455692917,1.0,,2022-09-02,183.0
868,20220729.0,725000.0,Mornington Crescent Station,0.2,Apartment,2.0,1.0,,0.0,0.0,Leasehold,NW1,NW1,NW10,NW10LE,3.263374924279163,1.0,,2022-09-02,82.0
869,20220615.0,550000.0,St. Pancras Station,0.2,Flat,1.0,1.0,517.0,1.0,0.0,Leasehold,WC1H,WC1,WC1H9,WC1H9PP,2.224802991299,1.0,,2022-09-02,87.0
870,20220729.0,780000.0,Royal Oak Station,0.4,Apartment,2.0,1.0,,1.0,0.0,Freehold,W9,W9,W92,W92HE,4.939471689977034,1.0,,2022-09-02,132.0
871,20220729.0,450000.0,Hoxton Station,0.2,Flat,2.0,1.0,,1.0,0.0,Leasehold,N1,N1,N16,N16QE,4.073639913693113,1.0,,2022-09-02,79.0
872,20220204.0,650000.0,Notting Hill Gate Station,0.4,Flat,2.0,1.0,,1.0,0.0,Leasehold,W11,W11,W112,W112QE,5.205626720513837,1.0,,2022-09-02,340.0
873,20220729.0,625000.0,Vauxhall Station,0.2,Flat,2.0,1.0,,1.0,0.0,Leasehold,SW8,SW8,SW82,SW82JA,2.499659042620706,0.0,,2022-09-02,91.0
874,20220729.0,550000.0,Sloane Square Station,0.4,Flat,1.0,1.0,289.0,0.0,0.0,Freehold,SW3,SW3,SW33,SW33AZ,3.1041588333618746,1.0,,2022-09-02,204.0
875,20220817.0,495000.0,Notting Hill Gate Station,0.2,Flat,1.0,1.0,319.0,0.0,0.0,Leasehold,W2,W2,W24,W24JW,4.533396102438414,1.0,,2022-09-02,214.0
876,20220707.0,750000.0,West Hampstead Thameslink Station,0.2,Flat,,,796.0,1.0,0.0,Freehold,NW6,NW6,NW61,NW61BS,6.663694088869085,1.0,,2022-09-02,128.0
877,20220729.0,575000.0,Pimlico Station,0.4,Flat,1.0,1.0,,0.0,1.0,Freehold,SW1P,SW1,SW1P4,SW1P4LA,1.570942771004633,1.0,,2022-09-02,142.0
878,20220729.0,585000.0,Angel Station,0.2,Apartment,2.0,1.0,560.0,0.0,0.0,Leasehold,N1,N1,N10,N10ED,3.3893271827271323,1.0,,2022-09-02,143.0
879,20220716.0,450000.0,Elephant & Castle Station,0.1,Flat,1.0,1.0,,0.0,1.0,Leasehold,SE1,SE1,SE16,SE16DT,2.365239202077161,0.0,,2022-09-02,70.0
880,20210625.0,800000.0,South Hampstead Station,0.1,Flat,3.0,2.0,1069.0,1.0,0.0,Leasehold,NW6,NW6,NW63,NW63SG,5.268983745609767,1.0,,2022-09-02,138.0
881,20220629.0,720000.0,Queen's Park Station,0.2,Apartment,2.0,1.0,,1.0,0.0,Freehold,NW6,NW6,NW66,NW66BH,6.213804328958048,1.0,,2022-09-02,161.0
882,20220729.0,575000.0,Lambeth North Station,0.4,Apartment,2.0,1.0,,0.0,0.0,Leasehold,SE11,SE11,SE116,SE116PX,1.8810257190743984,0.0,,2022-09-02,105.0
883,20220629.0,450000.0,Angel Station,0.2,Flat,1.0,1.0,,1.0,0.0,Leasehold,N1,N1,N18,N18DF,3.226817633115331,1.0,,2022-09-02,158.0
884,20220405.0,599950.0,"Edgware Road (Circle, District, Hammersmith & City) Station",0.3,Flat,2.0,1.0,558.0,0.0,0.0,Leasehold,W2,W2,W22,W22QG,2.73879431713717,1.0,,2022-09-02,312.0
885,20220729.0,675000.0,Victoria Station,0.3,Flat,1.0,1.0,574.0,0.0,1.0,Leasehold,SW1P,SW1,SW1P1,SW1P1JP,1.7191844413199295,1.0,,2022-09-02,140.0
886,20220729.0,525000.0,Baker Street Station,0.2,Apartment,1.0,1.0,305.0,0.0,0.0,Freehold,W1U,W1,W1U5,W1U5BY,2.3624579762546207,1.0,,2022-09-02,404.0
887,20220426.0,700000.0,Westbourne Park Station,0.1,Flat,2.0,1.0,,0.0,0.0,Freehold,W11,W11,W111,W111HT,5.3064511040465545,1.0,,2022-09-02,197.0
888,20220729.0,585000.0,Kilburn Park Station,0.2,Flat,2.0,1.0,644.0,0.0,0.0,Leasehold,NW6,NW6,NW66,NW66AG,5.782108472872283,1.0,,2022-09-02,161.0
889,20220426.0,550000.0,Ladbroke Grove Station,0.2,Flat,1.0,1.0,,0.0,0.0,Leasehold,W10,W10,W105,W105TD,5.700776537458662,1.0,,2022-09-02,128.0
890,20220729.0,480000.0,Elephant & Castle Station,0.3,Studio,0.0,1.0,429.0,1.0,1.0,Leasehold,SE17,SE17,SE171,SE171GD,2.6643240957175336,0.0,,2022-09-02,77.0
891,20220414.0,450000.0,Brondesbury Station,0.1,Apartment,1.0,1.0,538.0,0.0,0.0,Leasehold,NW6,NW6,NW62,NW62JL,6.521158128233912,1.0,,2022-09-02,94.0
892,20220705.0,675000.0,Sloane Square Station,0.4,Flat,2.0,1.0,,0.0,0.0,Freehold,SW1W,SW1,SW1W8,SW1W8QY,2.6078869786880894,1.0,,2022-09-02,396.0
893,20220729.0,550000.0,Earls Court Station,0.3,Flat,1.0,1.0,489.0,0.0,1.0,Leasehold,W8,W8,W86,W86DH,5.022449335953105,1.0,,2022-09-02,378.0
894,20220729.0,450000.0,Earls Court Station,0.3,Flat,1.0,1.0,505.0,0.0,1.0,Leasehold,W8,W8,W86,W86DQ,5.022449335953105,1.0,,2022-09-02,378.0
895,20220728.0,450000.0,Canonbury Station,0.1,Flat,1.0,1.0,,0.0,0.0,Leasehold,N1,N1,N12,N12RG,5.008025455930121,1.0,,2022-09-02,123.0
896,20220420.0,795000.0,Victoria Station,0.3,Maisonette,2.0,2.0,542.0,1.0,0.0,Leasehold,SW1V,SW1,SW1V1,SW1V1JH,1.890232922842523,1.0,,2022-09-02,205.0
897,20211125.0,525000.0,Pimlico Station,0.2,Studio,0.0,1.0,520.0,0.0,1.0,Leasehold,SW1V,SW1,SW1V3,SW1V3JL,2.1863123737042622,1.0,,2022-09-02,159.0
898,20220615.0,575000.0,Holloway Road Station,0.1,Apartment,1.0,1.0,,1.0,0.0,Leasehold,N7,N7,N78,N78EQ,4.980777503399144,1.0,,2022-09-02,115.0
899,20220728.0,750000.0,Queen's Park Station,0.3,Flat,2.0,2.0,,0.0,0.0,Freehold,W9,W9,W93,W93JJ,5.802323513855084,1.0,,2022-09-02,79.0
900,20220318.0,800000.0,West Hampstead Station,0.3,Flat,5.0,2.0,1322.0,1.0,0.0,Leasehold,NW6,NW6,NW63,NW63PN,5.9507009521536585,1.0,,2022-09-02,138.0
901,20220728.0,695000.0,Euston Station,0.2,Apartment,1.0,1.0,,0.0,0.0,,WC1H,WC1,WC1H9,WC1H9AB,2.193227860605193,1.0,,2022-09-02,87.0
902,20220728.0,725000.0,Highbury & Islington Station,0.3,Apartment,1.0,1.0,666.0,1.0,0.0,Freehold,N1,N1,N12,N12UL,4.277209857067912,1.0,,2022-09-02,123.0
903,20220728.0,450000.0,Elephant & Castle Station,0.2,Flat,2.0,1.0,,0.0,0.0,,SE1,SE1,SE16,SE16SF,2.5068487355382283,0.0,,2022-09-02,70.0
904,20220405.0,725000.0,Westbourne Park Station,0.3,Apartment,1.0,1.0,,1.0,0.0,Freehold,W2,W2,W25,W25DH,4.984625078490311,1.0,,2022-09-02,183.0
905,20220711.0,725000.0,Westbourne Park Station,0.4,Apartment,1.0,1.0,,0.0,0.0,Freehold,W2,W2,W25,W25DH,4.868871677157431,1.0,,2022-09-02,183.0
906,20220728.0,665000.0,St. John's Wood Station,0.3,Flat,2.0,1.0,,1.0,0.0,Leasehold,NW8,NW8,NW87,NW87DA,4.020308635447608,1.0,,2022-09-02,252.0
